9/22/13		298	173	324	303	Holt	
9/29/13		193	174		158	Holt	
10/13/13		221	175	263	249	Holt	
10/20/13		254	176	musical number	252	Holt	
10/27/13		117	177	musical number	97	Holt	
11/3/13		142	178		149	Holt	
11/10/13	primary program	?	179		?	Holt	
11/17/13		246	181	237	224	Holt	
11/24/13		230	182	musical number	219	Holt	
12/1/13		202	183		201	Holt	
12/8/13		203	184	205	209	Holt	
12/15/13		207	185	212	210	Holt	
12/22/13	christmas program	213	187		214	Holt	
12/29/13		215	186	125	64	Holt	
1/5/14	fast Sunday	250	186		4	Holt	
1/12/14		15	188	41	45	Holt	
1/19/14		301	189	302	131	Holt	
1/26/14	ward conference	8	190	musical number	246	Holt	
2/2/14	fast Sunday	139	178		138	Holt	
2/9/14		62	179	81	229	Holt	
2/16/14		3	180	musical number	44	Holt	
2/23/14		82	181	85	303	Holt	
3/2/14	fast Sunday	7	182		163	Holt	
3/9/14		83	183	130	140	Holt	
3/16/14		239	184	57	237	Holt	
3/23/14	stake conference					Holt	
3/30/14	fast Sunday	2	185		142	Holt	
4/13/14		197	170	116	220	Holt	
4/20/14		199	171	musical number	198	Holt	
4/27/14		4	172	324	64	Holt	
5/4/14	fast Sunday	141	173		155	Holt	
5/11/14		98	169	musical number	124	Holt	
5/18/14		85	174	81	254	Holt	
5/25/14		294	175	304	223	Holt	
6/1/14	fast Sunday	67	176		45	Holt	
6/8/14		125	177	270	220	Holt	
6/15/14		228	178	252	249	Holt	
6/22/14		238	179	musical number	288	Holt	
6/29/14		64	180	287	286	Holt	
7/6/14	fast Sunday	339	181		228	Holt	
7/13/14		129	182	123	302	Holt	
7/20/14		66	183	musical number	136	Holt	
7/27/14		140	184	233	155	Holt	
8/3/14	fast Sunday	4	185		193	Holt	
8/10/14		165	186	musical number	127	Holt	
8/17/14		263	187	221	261	Holt	
8/24/14		92	188	7	284	Holt	
9/7/14	fast Sunday	102	190		158	Holt	
9/14/14		148	191	146	149	Holt	
9/21/14		29	192	141	242	Holt	
9/28/14		84	194		157	Holt	
10/12/14	stake conference					Holt	
